109510,22404,Allen_G.,George,Allen,South,0.397,0.017,Republican,S,M,2001,2007,6,1952,NonCatholic,White,Law,No,9.55,12.41666667,6.666666667,?,0,10,100,50,100,0,100,100,0,100,5,100,?,0,10,0,95,0,?,71,11,?,0,89,0,20,17,100,?,0,0,0,0,50,0,94,46,75,12,100,100,0,?,30,8,5,?,89,?,0,97,100,60,?,100,0,75,0,86,25,40,67,83,100,13,0,40,0,0,25,?,100,43,?,0,5,17,15,89,100,0,33,0,100,10,100,27,?,25,83,0,100,0,22,17,?,66,?,62,?,?,?,?,88,0,0,92,100,100,90,74,33,0,0,67,0,25,0,0,80,0,100,6,10,17,50,7,0,60,91,5,100,7,
109304,26949,Andrews_R.,Robert,Andrews,North,-0.322,-0.116,Democratic,H,M,1991,2015,24,1957,NonCatholic,White,Education,No,93.69565217,81.29411765,71.83333333,100,13,82,0,21,0,100,37,73,0,8,90,5,33,100,100,88,10,89,0,100,100,63,89,17,100,100,93,40,83,89,83,25,100,100,89,25,50,9,92,0,42,80,89,75,37,100,100,18,70,100,0,14,100,0,37,100,0,0,0,53,100,0,24,0,100,72,67,100,88,80,100,86,20,30,95,83,100,90,81,19,66,100,100,75,90,100,100,90,100,60,100,8,100,100,100,27,20,33,27,74,80,64,73,100,71,100,0,0,55,0,18,68,100,76,30,100,75,100,100,0,0,25,100,88,100,100,100,100,38,8,68,38,50,
106466,27083,Archer_B.,William,Archer,South,0.535,0.475,Republican,H,M,1971,2003,32,1928,Catholic,White,Agriculture,Yes,10.69565217,11,15,?,?,0,91,?,?,?,?,19,?,95,5,?,82,0,?,0,88,?,66,10,?,?,?,93,?,14,0,100,?,?,?,?,?,0,?,100,?,87,75,93,80,53,8,?,?,11,?,85,44,0,?,92,?,?,88,?,?,?,50,27,?,?,?,?,0,13,17,0,0,?,0,100,62,?,12,7,8,18,?,?,?,0,0,?,0,?,36,20,30,?,9,100,?,11,20,?,?,?,82,?,?,?,?,31,?,?,100,100,?,95,73,27,?,13,?,0,25,0,0,?,?,100,?,40,0,?,8,0,?,100,15,20,?,
104394,27105,Armey_R.,Richard,Armey,South,0.64,-0.07,Republican,H,M,1985,2003,18,1940,NonCatholic,White,Education,No,8.782608696,19.33333333,11,0,17,0,100,36,?,100,?,7,0,96,0,?,83,0,0,0,100,?,66,0,?,?,0,100,0,0,0,100,0,?,0,0,0,0,?,100,?,93,28,100,95,9,44,?,?,0,0,85,30,0,?,93,100,?,100,?,87,?,0,7,?,90,?,?,0,33,0,11,40,?,0,97,65,?,6,0,0,21,42,?,?,0,10,0,0,86,31,0,16,?,8,100,?,33,6,?,?,?,81,?,?,?,?,100,?,?,100,100,100,88,62,0,?,7,?,0,14,0,0,73,?,100,25,50,43,?,8,0,?,80,5,77,?,
106285,21977,Ashcroft_J.,John,Ashcroft,Midwest,0.565,-0.236,Republican,S,M,1995,2001,6,1942,NonCatholic,White,Education,No,5.913043478,27,10,?,?,0,100,?,?,?,?,14,?,96,5,?,100,9,?,0,100,?,0,20,?,?,?,62,?,0,?,?,?,?,?,?,?,0,?,92,?,71,75,100,93,13,0,?,14,0,?,93,10,0,?,86,?,?,88,?,?,?,25,0,?,?,?,?,0,20,0,0,0,?,0,100,70,?,10,0,0,20,?,?,?,0,0,?,0,?,23,10,20,?,18,100,?,40,25,?,?,?,77,?,?,?,?,19,?,?,92,100,?,100,72,30,?,8,?,0,?,0,0,?,?,100,?,34,0,?,8,0,?,?,0,17,?,
109071,8039,Baca_J.,Joe,Baca,West,-0.318,0.296,Democratic,H,M,2003,2013,10,1947,NonChristian,NonWhite,Misc.,No,91.04347826,83.82352941,53,88,0,80,0,7,50,0,37,55,0,32,90,5,33,88,100,99,0,44,0,100,100,25,11,8,100,100,93,60,75,44,33,100,18,100,44,11,100,7,17,10,58,70,78,75,75,100,0,27,60,100,0,13,100,0,42,84,0,0,0,47,90,16,16,0,100,36,50,100,94,100,100,57,22,15,95,56,100,95,83,40,66,100,100,100,85,100,100,88,100,66,100,25,100,100,100,35,38,28,39,65,62,72,61,36,71,100,75,0,55,0,16,56,100,71,44,100,67,86,100,7,50,26,100,55,100,100,100,100,38,0,55,38,100,
109006,26715,Bachus_S.,Spencer,Bachus,South,0.554,0.176,Republican,H,M,1993,2015,22,1947,NonCatholic,White,Business_banking,Yes,13.34782609,13.05882353,18,0,0,0,100,93,50,100,62,0,0,92,5,100,66,4,11,5,100,22,100,0,0,0,0,67,0,20,13,100,0,22,0,0,4,25,22,90,50,57,50,100,93,20,44,17,0,13,0,100,11,13,100,100,100,?,92,3,33,100,100,0,30,83,52,100,0,9,33,25,16,17,7,71,50,100,11,0,17,15,83,100,0,33,0,0,5,100,31,10,0,60,16,100,0,0,17,61,60,62,61,39,40,37,39,53,29,0,92,100,44,82,58,0,0,6,100,0,0,0,0,84,100,100,0,11,16,50,14,13,63,100,0,38,0,
105201,26876,Baesler_S.,Scotty,Baesler,South,-0.148,0.278,Democratic,H,M,1993,1999,6,1941,NonCatholic,White,Agriculture,Yes,67.45454545,100,25,?,?,75,40,?,?,?,?,20,?,36,65,?,74,93,?,63,?,?,24,64,?,?,?,42,?,43,?,70,?,?,?,?,?,75,?,38,?,33,43,43,50,44,83,?,?,80,?,57,0,75,?,50,?,?,70,?,?,?,25,40,?,?,?,?,0,0,50,?,?,?,50,?,25,?,70,38,67,55,?,?,?,80,70,?,65,?,64,80,86,?,67,60,?,100,60,?,?,?,34,?,?,?,?,100,?,?,0,45,?,37,17,33,?,36,?,100,50,83,42,?,?,?,?,41,80,?,79,77,?,?,42,50,?,
109513,837,Baird_B.,Brian,Baird,West,-0.354,0.558,Democratic,H,M,1999,2011,12,1956,NonChristian,White,Education,No,84.86956522,71.64705882,91.33333333,92,35,78,0,37,50,0,50,91,0,9,95,11,66,73,50,60,15,100,0,100,50,0,22,0,100,100,92,57,83,100,100,100,50,100,100,20,50,7,63,10,56,90,89,80,62,94,0,18,70,63,18,22,100,0,0,86,0,D,100,45,50,12,22,27,100,73,75,62,50,67,80,100,13,32,94,94,100,83,83,53,55,100,100,25,90,91,100,80,100,31,66,43,100,75,100,41,47,24,49,59,52,73,51,100,100,100,67,0,55,3,18,50,100,76,55,100,91,100,100,26,0,9,75,100,83,100,77,100,60,25,91,57,100,
104028,26738,Baker_B.,Bill,Baker,West,0.572,0.008,Republican,H,M,1993,1997,4,1940,Catholic,White,Public_Service,Yes,6.272727273,56,25,?,?,0,92,?,?,?,?,19,?,100,5,?,86,0,?,0,?,?,?,0,?,?,?,100,?,0,?,100,?,?,?,?,?,10,?,100,?,75,45,100,94,9,0,?,?,9,?,?,20,0,?,?,?,?,96,?,?,?,?,13,?,?,?,?,0,25,?,?,?,?,0,?,71,?,21,8,?,20,?,?,?,20,?,?,?,?,18,10,0,?,0,100,?,56,?,?,?,?,72,?,?,?,?,100,?,?,75,95,?,?,72,?,?,15,?,?,0,?,0,?,?,?,?,?,10,?,0,13,?,?,5,?,?,
